id,nama_satuan_pendidikan,jenjang,alamat,geom,id_kelurahan,node_id,created_at
f2ba2015-e4c6-48cb-ac2c-2514fbf8583d,MIN 3 Jember,SD,JL. MAHONI 20 WIROLEGI,POINT(113.7491291832855 -8.181918597437734),f07dadc4-3fde-4cd2-a269-6d832fb15bc3,,
3fd38334-fdeb-4611-a9ed-b5ede07b20c4,SDN ANTIROGO 01,SD,Jl. Parang Tritis No. 49,POINT(113.74128888143079 -8.152006279254337),1fb35146-0024-4966-ab5e-dce7c75de87c,,
15f0acf1-f1a6-484e-a9ce-3abae19f9120,SDN ANTIROGO 02,SD,Jl. Sarangan 102,POINT(113.75409736793968 -8.14617467461631),1fb35146-0024-4966-ab5e-dce7c75de87c,,
09a93422-5a23-4e77-af08-50500f0b0c83,SDN ANTIROGO 03,SD,Jl. Koptu Barlian No. 6,POINT(113.74432942375824 -8.157006545511075),1fb35146-0024-4966-ab5e-dce7c75de87c,,
8ff1c7ea-9189-4568-a9f2-c5caae6d13b6,SDN ANTIROGO 04,SD,Jl. Pangandaran No. 65,POINT(113.73574246793963 -8.142125516154506),1fb35146-0024-4966-ab5e-dce7c75de87c,,
b609029b-2838-4297-abc4-ad0ef9df70e1,SDN KARANGREJO 01,SD,Jl. S. Parman No. 122,POINT(113.72863579573196 -8.18490453479601),52183bbc-972d-41ac-ab0b-b4c6a718268a,,
638f413a-2188-48a3-a87c-e814c16f45f2,SDN KARANGREJO 02,SD,Jl. Sriwijaya No. 19,POINT(113.72209337026858 -8.186275682806215),52183bbc-972d-41ac-ab0b-b4c6a718268a,,
b77cd5eb-dac0-4537-aefd-a6983066b801,SDN KARANGREJO 03,SD,Jl. Asrama Yonif 509,POINT(113.72590806598923 -8.18392108821768),52183bbc-972d-41ac-ab0b-b4c6a718268a,,
f6f45b23-b844-4d92-aefd-9eb9e22eec45,SDN KARANGREJO 04,SD,Jl. Tidar No. 7,POINT(113.73019420419323 -8.172686514932895),52183bbc-972d-41ac-ab0b-b4c6a718268a,,
8f594b08-03d4-45aa-a3c2-7b8a6f7e6d13,SDN KARANGREJO 05,SD,Jl. P Tendean Gg. Mojopahit No. 70,POINT(113.73191765815749 -8.189998339480745),52183bbc-972d-41ac-ab0b-b4c6a718268a,,
66c61f3a-8e30-450e-ad67-49bc6a4eefa2,SDN KARANGREJO 06,SD,Jl. Beringin Indah IX / 7 Karangrejo,POINT(113.73796889441061 -8.16786323183638),52183bbc-972d-41ac-ab0b-b4c6a718268a,,
bafe3adb-24c4-4b85-ab8c-83b42baaa52f,SDN KEBONSARI 01,SD,Jl. Letjen Suprapto No. 101,POINT(113.70405571902717 -8.184047000449524),64b15843-1081-4b4c-adb0-1756d872e993,,
987da0ee-a136-4fb2-a6b0-7172f3c9fb93,SDN KEBONSARI 02,SD,Jl. Teuku Umar 38,POINT(113.7000411948468 -8.190877706329385),64b15843-1081-4b4c-adb0-1756d872e993,,
3f7f71e3-5eb7-4bcd-a675-44c56f00fc13,SDN KEBONSARI 03,SD,Jl. Letj. S Parman Gg. II /5,POINT(113.71580314980163 -8.183241568769095),64b15843-1081-4b4c-adb0-1756d872e993,,
9c159b88-9c70-46cc-a072-d5cb54a6a7d7,SDN KEBONSARI 04,SD,Jl. Letjen Sutoyo No. 36,POINT(113.70649605444923 -8.191250439913782),64b15843-1081-4b4c-adb0-1756d872e993,,
55fe8697-2d5f-4b60-aefa-eee1d8b12e4b,SDN KEBONSARI 05,SD,Jl. Kahuripan No. 39,POINT(113.70870728977859 -8.185513106081657),64b15843-1081-4b4c-adb0-1756d872e993,,
bcc2e19a-c78e-4146-a5e3-06ed09e7f684,SDN KRANJINGAN 01,SD,Jl. Basuki Rahmad No.269,POINT(113.69569729153405 -8.209254738311929),88b10cba-d2f5-4b8a-adf6-64ebbff7f8d9,,
7505abc7-706f-4b38-a546-de4e884726fd,SDN KRANJINGAN 02,SD,Jl. Aji Saka No. 101,POINT(113.72208147906576 -8.202373310212874),88b10cba-d2f5-4b8a-adf6-64ebbff7f8d9,,
047c8dca-5071-4392-a0e4-0c7909dec230,SDN KRANJINGAN 03,SD,Jl. Ajisaka No. 88,POINT(113.72351750368219 -8.19856232736041),88b10cba-d2f5-4b8a-adf6-64ebbff7f8d9,,
8317b501-e4f1-4215-a39e-e17c71cf0f1d,SDN KRANJINGAN 04,SD,Jl. Wolter Monginsidi No. 131,POINT(113.70712202324755 -8.21189700941418),88b10cba-d2f5-4b8a-adf6-64ebbff7f8d9,,
d97b8327-0239-4130-ae4c-ed764d73cde7,SDN KRANJINGAN 05,SD,Jl. Yos Sudarso No. 118,POINT(113.7332496864827 -8.203377148850524),88b10cba-d2f5-4b8a-adf6-64ebbff7f8d9,,
95251365-1884-4567-a911-9f3b2b1a086c,SDN SUMBERSARI 01,SD,Jl. Karimata NO.183,POINT(113.7157487502291 -8.180692477291403),7ba38091-2893-4aa1-aad2-38876fd8fa5c,,
df832476-444b-40eb-ac72-de9a552c5e56,SDN SUMBERSARI 02,SD,Jl. Kaliurang No. 02,POINT(113.74209538685267 -8.16011330067762),7ba38091-2893-4aa1-aad2-38876fd8fa5c,,
61454da1-b135-4126-ab8e-a7d02e96df06,SDN SUMBERSARI 03,SD,Jl. Bengawan Solo No. 17,POINT(113.7100981809197 -8.16762181172166),7ba38091-2893-4aa1-aad2-38876fd8fa5c,,
2893bcb2-3ccc-48c3-a548-d5bd1adac60c,SDN TEGALGEDE 01,SD,Jl. Tawang Mangu No. 6,POINT(113.72202006793978 -8.154482427225362),3310c5e5-0a25-4100-af1d-5c431260b232,,
867e5a0c-bdcc-471f-a06a-20209a0ef5cf,SDN TEGALGEDE 02,SD,Jl. Tawang Mangu No. 4,POINT(113.72294699441042 -8.152697387820405),3310c5e5-0a25-4100-af1d-5c431260b232,,
d78992bb-23e8-46db-a36b-7f5c021f99cf,SDN TEGALGEDE 03,SD,Jl. Koptu Berlian No. 114,POINT(113.73502861531856 -8.161763968447643),3310c5e5-0a25-4100-af1d-5c431260b232,,
d0997cbd-f73f-4ad3-a9ad-7847cbc6d5c7,SDN WIROLEGI 01,SD,Jl. Mt Hariyono Gg. Mojopahit No. 8,POINT(113.7390889888483 -8.18699704099638),f07dadc4-3fde-4cd2-a269-6d832fb15bc3,,
475091f5-2924-4699-aad7-f355c3d9d152,SDN WIROLEGI 02,SD,Jl. Mahoni No. 3,POINT(113.7503988944107 -8.180919477387945),f07dadc4-3fde-4cd2-a269-6d832fb15bc3,,
a662742b-14cb-42fa-aaa2-da552040278a,SDN WIROLEGI 03,SD,Jl. Mt Haryono Gg. Mojopahit No.76,POINT(113.73966275444936 -8.187576177593021),f07dadc4-3fde-4cd2-a269-6d832fb15bc3,,
