id,nama_sppg,alamat,geom,id_kelurahan,node_id,created_at
2e8f3743-c19b-4264-a528-b5b57583ac28,SPPG Jember Sumbersari Antirogo,"Jl. Sarangan perumahan Telaga Kausar blok H, Krajan, Kelurahan Antirogo, Kec. Sumbersari, Kabupaten Jember, Jawa Timur",POINT(113.74974105159849 -8.142868814396746),1fb35146-0024-4966-ab5e-dce7c75de87c,,
f471984b-45d0-4e70-ac31-d75aa2cbb8f5,SPPG Jember Sumbersari Karangrejo,"Kali Oktak, Karangrejo, Kec. Sumbersari, Kab. Jember, Jawa Timur",POINT(113.72531755192566 -8.185502770090784),52183bbc-972d-41ac-ab0b-b4c6a718268a,,
b3c081ae-98a2-4a6b-a58f-bd1bf1120d9f,SPPG Jember Sumbersari Kebonsari,"Jl. Letjen Suprapto IV, Kebonsari, Kec. Sumbersari, Kab. Jember, Jawa Timur",POINT(113.70158602561284 -8.181279116824808),64b15843-1081-4b4c-adb0-1756d872e993,,
b3c081ae-98a2-4a6b-a58f-bd1bf1120d9f,SPPG Jember Sumbersari Kebonsari,"Jl. Letjen Panjaitan Gg VIII No.123 Rt. 03, Rw. 24, Kebonsari, Kec. Sumbersari, Kab. Jember, Jawa Timur",POINT(113.71144569958324 -8.181347197643888),64b15843-1081-4b4c-adb0-1756d872e993,,
c51762dc-38d0-4b72-a1d6-ff2fd6eace1b,SPPG Jember Sumbersari Kranjingan,"Jl. Yos Sudarso No. 80 Kranjingan, Kec. Sumbersari, Kab. Jember, Jawa Timur",POINT(113.7333608102678 -8.200439066570668),88b10cba-d2f5-4b8a-adf6-64ebbff7f8d9,,
9248fab6-c497-4b3e-af19-0e593b4a8237,SPPG Jember Sumbersari Kranjingan 2,"Jl. Yos Sudarso No.121, Langsepan, Kranjingan, Kec. Sumbersari, Kab. Jember, Jawa Timur",POINT(113.73590773910404 -8.196589587897313),88b10cba-d2f5-4b8a-adf6-64ebbff7f8d9,,
25ff7fac-f78d-4568-a76f-ce3a8f818d96,SPPG Jember Sumbersari Sumbersari,"Jl. Sriwijaya Gg.XXX No.30, Kramat, Kranjingan, Kec. Sumbersari, Kab. Jember, Jawa Timur",POINT(113.72137066035818 -8.188255622999261),88b10cba-d2f5-4b8a-adf6-64ebbff7f8d9,,
3dfb815b-f414-418c-a8f6-fb65dfa263ac,SPPG Jember Sumbersari Sumbersari 2,"Jl. Semeru Utama Timur Lap Tembak Cafe Anglo Kec. Sumbersari Kab. Jember, Jawa Timur",POINT(113.72827725767263 -8.177047176489072),7ba38091-2893-4aa1-aad2-38876fd8fa5c,,
45ad99e8-aa22-476f-a431-464b539a5346,SPPG Jember Sumbersari Sumbersari 3,"Jl. Sumatera No. 89, Kelurahan Sumbersari, Kecamatan Sumbersari, Kabupaten Jember. Jawa Timur",POINT(113.70829005444884 -8.1723769135141),7ba38091-2893-4aa1-aad2-38876fd8fa5c,,
b473a256-85c3-4623-a37c-361ef019fa5e,SPPG Jember Sumbersari Sumbersari 4,"Jl. Panjaitan No.146, Gumuk Kerang, Sumbersari, Kec. Sumbersari, Kab. Jember, Jawa Timur",POINT(113.71338797581 -8.181222377417402),7ba38091-2893-4aa1-aad2-38876fd8fa5c,,
d79e7b89-7761-4caf-a562-fc7e9e48063c,SPPG Jember Sumbersari Tegalgede,"Jl. Baturaden 9 Lingkungan Panji, Tegalgede, Kecamatan Sumbersari, Kabupaten Jember, Jawa Timur",POINT(113.72188317467705 -8.156535686704581),3310c5e5-0a25-4100-af1d-5c431260b232,,
f429f9c0-daca-4b3a-a8e4-3c202799d293,SPPG Jember Sumbersari Tegalgede 2,"Jl. Tawangmangu 74A, Kel. Tegal Gede, Kec. Sumbersari Jember",POINT(113.726742568767 -8.150739865943782),3310c5e5-0a25-4100-af1d-5c431260b232,,
e190a9dc-aa75-408e-aae9-d05f2f410fa3,SPPG Jember Sumbersari Tegalgede 3,"Jl. Danau Toba No. 16 A, Tegalgede, Kec. Sumbersari, Kab. Jember, Jawa Timur",POINT(113.71592899492178 -8.15630920449618),3310c5e5-0a25-4100-af1d-5c431260b232,,
7454c02e-a786-4d59-a48a-d10e42fef713,SPPG Jember Sumbersari Tegalgede 4,"Jl. Kaliurang Krajan Barat, Tegalgede, Kec. Sumbersari, Kab. Jember, Jawa Timur",POINT(113.73110976676045 -8.163711848898295),3310c5e5-0a25-4100-af1d-5c431260b232,,
